FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,16/01/2025 15:27:47.047
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431697296
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
16/01/2025 15:27:47.047,0,-0.1228813559,-0.07172995781,-1.085470085,-70
16/01/2025 15:27:47.147,1,-0.3474576271,-0.2362869198,-1.183760684,-72
16/01/2025 15:27:47.247,2,-0.3559322034,-0.2362869198,-1.192307692,-69
16/01/2025 15:27:47.347,3,-0.3474576271,-0.2362869198,-1.192307692,-69
16/01/2025 15:27:47.447,4,-0.3177966102,-0.2278481013,-1.179487179,-67
16/01/2025 15:27:47.547,5,-0.3389830508,-0.2320675105,-1.162393162,-70
16/01/2025 15:27:47.647,6,-0.3389830508,-0.2447257384,-1.179487179,-68
16/01/2025 15:27:47.746,7,-0.3305084746,-0.2362869198,-1.170940171,-69
16/01/2025 15:27:47.847,8,-0.3220338983,-0.2278481013,-1.170940171,-72
16/01/2025 15:27:47.947,9,-0.3305084746,-0.2320675105,-1.183760684,-69
16/01/2025 15:27:48.047,10,-0.3347457627,-0.2405063291,-1.179487179,-73
16/01/2025 15:27:48.247,12,-0.3262711864,-0.2362869198,-1.175213675,-75
16/01/2025 15:27:48.347,13,-0.3347457627,-0.2362869198,-1.188034188,-73
16/01/2025 15:27:48.446,14,-0.3305084746,-0.2362869198,-1.192307692,-71
16/01/2025 15:27:48.547,15,-0.3474576271,-0.2362869198,-1.188034188,-71
16/01/2025 15:27:48.647,16,-0.343220339,-0.2320675105,-1.192307692,-69
16/01/2025 15:27:48.747,17,-0.3347457627,-0.223628692,-1.183760684,-69
16/01/2025 15:27:48.847,18,-0.3262711864,-0.2320675105,-1.188034188,-67
16/01/2025 15:27:48.946,19,-0.3220338983,-0.2320675105,-1.179487179,-67
16/01/2025 15:27:49.047,20,-0.343220339,-0.2194092827,-1.183760684,-68
16/01/2025 15:27:49.147,21,-0.3389830508,-0.223628692,-1.175213675,-69
16/01/2025 15:27:49.247,22,-0.3389830508,-0.2194092827,-1.166666667,-69
16/01/2025 15:27:49.346,23,-0.3220338983,-0.2278481013,-1.179487179,-68
16/01/2025 15:27:49.447,24,-0.3305084746,-0.2405063291,-1.179487179,-69
16/01/2025 15:27:49.547,25,-0.3559322034,-0.2320675105,-1.183760684,-69
16/01/2025 15:27:49.647,26,-0.3262711864,-0.2194092827,-1.188034188,-69
16/01/2025 15:27:49.846,28,-0.3389830508,-0.2405063291,-1.192307692,-71
16/01/2025 15:27:49.947,29,-0.3389830508,-0.2320675105,-1.188034188,-69
16/01/2025 15:27:50.047,30,-0.3177966102,-0.2278481013,-1.188034188,-69
16/01/2025 15:27:50.147,31,-0.3177966102,-0.2405063291,-1.188034188,-69
16/01/2025 15:27:50.247,32,-0.3347457627,-0.2320675105,-1.175213675,-69
16/01/2025 15:27:50.346,33,-0.3262711864,-0.2278481013,-1.175213675,-68
16/01/2025 15:27:50.447,34,-0.3220338983,-0.2278481013,-1.179487179,-68
16/01/2025 15:27:50.547,35,-0.343220339,-0.2320675105,-1.175213675,-69
16/01/2025 15:27:50.647,36,-0.3347457627,-0.223628692,-1.179487179,-68
16/01/2025 15:27:50.747,37,-0.3220338983,-0.2278481013,-1.183760684,-69
16/01/2025 15:27:50.846,38,-0.3305084746,-0.2405063291,-1.162393162,-69
16/01/2025 15:27:50.947,39,-0.3347457627,-0.2320675105,-1.166666667,-69
16/01/2025 15:27:51.047,40,-0.3177966102,-0.2320675105,-1.179487179,-69
16/01/2025 15:27:51.146,41,-0.3389830508,-0.2362869198,-1.170940171,-69
16/01/2025 15:27:51.247,42,-0.3220338983,-0.2278481013,-1.179487179,-70
16/01/2025 15:27:51.347,43,-0.3305084746,-0.2405063291,-1.183760684,-67
16/01/2025 15:27:51.447,44,-0.3347457627,-0.2278481013,-1.183760684,-69
16/01/2025 15:27:51.547,45,-0.3220338983,-0.2320675105,-1.183760684,-69
16/01/2025 15:27:51.646,46,-0.3474576271,-0.2278481013,-1.170940171,-69
16/01/2025 15:27:51.747,47,-0.3262711864,-0.2278481013,-1.175213675,-69
16/01/2025 15:27:51.847,48,-0.3516949153,-0.2362869198,-1.179487179,-71
16/01/2025 15:27:51.947,49,-0.3305084746,-0.223628692,-1.162393162,-71
16/01/2025 15:27:52.047,50,-0.3516949153,-0.2362869198,-1.175213675,-69
16/01/2025 15:27:52.146,51,-0.3262711864,-0.2278481013,-1.175213675,-69
