FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,31/01/2025 16:06:12.780
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431697296
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
31/01/2025 16:06:12.780,0,-0.1228813559,-0.07172995781,-1.072649573,-71
31/01/2025 16:06:12.880,1,-0.3177966102,-0.2194092827,-1.175213675,-71
31/01/2025 16:06:12.980,2,-0.313559322,-0.2194092827,-1.166666667,-68
31/01/2025 16:06:13.080,3,-0.3305084746,-0.2194092827,-1.175213675,-67
31/01/2025 16:06:13.180,4,-0.3220338983,-0.2151898734,-1.170940171,-67
31/01/2025 16:06:13.280,5,-0.3177966102,-0.2194092827,-1.170940171,-69
31/01/2025 16:06:13.380,6,-0.3347457627,-0.2067510549,-1.166666667,-67
31/01/2025 16:06:13.479,7,-0.3305084746,-0.2151898734,-1.153846154,-67
31/01/2025 16:06:13.580,8,-0.3177966102,-0.2194092827,-1.166666667,-67
31/01/2025 16:06:13.680,9,-0.3305084746,-0.2194092827,-1.170940171,-68
31/01/2025 16:06:13.780,10,-0.3262711864,-0.223628692,-1.183760684,-67
31/01/2025 16:06:13.880,11,-0.3389830508,-0.2151898734,-1.183760684,-69
31/01/2025 16:06:13.980,12,-0.3347457627,-0.2109704641,-1.179487179,-68
31/01/2025 16:06:14.080,13,-0.3177966102,-0.2151898734,-1.179487179,-66
31/01/2025 16:06:14.179,14,-0.3177966102,-0.2278481013,-1.166666667,-65
31/01/2025 16:06:14.280,15,-0.3305084746,-0.2151898734,-1.166666667,-67
31/01/2025 16:06:14.380,16,-0.3262711864,-0.2151898734,-1.175213675,-68
31/01/2025 16:06:14.480,17,-0.3177966102,-0.223628692,-1.158119658,-66
31/01/2025 16:06:14.580,18,-0.3177966102,-0.2278481013,-1.170940171,-67
31/01/2025 16:06:14.679,19,-0.3220338983,-0.2151898734,-1.158119658,-67
31/01/2025 16:06:14.780,20,-0.3262711864,-0.2151898734,-1.158119658,-67
31/01/2025 16:06:14.880,21,-0.3093220339,-0.2151898734,-1.166666667,-68
31/01/2025 16:06:14.980,22,-0.3177966102,-0.2320675105,-1.175213675,-67
31/01/2025 16:06:15.079,23,-0.3305084746,-0.2151898734,-1.170940171,-65
31/01/2025 16:06:15.180,24,-0.3177966102,-0.2278481013,-1.175213675,-66
31/01/2025 16:06:15.280,25,-0.3305084746,-0.2067510549,-1.183760684,-67
31/01/2025 16:06:15.380,26,-0.3220338983,-0.2194092827,-1.170940171,-67
31/01/2025 16:06:15.480,27,-0.3262711864,-0.223628692,-1.14957265,-67
31/01/2025 16:06:15.579,28,-0.3177966102,-0.2194092827,-1.183760684,-67
31/01/2025 16:06:15.680,29,-0.3305084746,-0.2151898734,-1.166666667,-68
31/01/2025 16:06:15.780,30,-0.3305084746,-0.2278481013,-1.153846154,-69
31/01/2025 16:06:15.980,32,-0.3177966102,-0.2151898734,-1.179487179,-67
31/01/2025 16:06:16.079,33,-0.3093220339,-0.2278481013,-1.166666667,-67
31/01/2025 16:06:16.180,34,-0.3347457627,-0.2278481013,-1.162393162,-67
31/01/2025 16:06:16.280,35,-0.3220338983,-0.2151898734,-1.166666667,-67
31/01/2025 16:06:16.380,36,-0.3093220339,-0.2109704641,-1.175213675,-67
31/01/2025 16:06:16.480,37,-0.3347457627,-0.2067510549,-1.166666667,-67
31/01/2025 16:06:16.579,38,-0.3347457627,-0.2194092827,-1.158119658,-66
31/01/2025 16:06:16.680,39,-0.3177966102,-0.223628692,-1.175213675,-67
31/01/2025 16:06:16.780,40,-0.3220338983,-0.2067510549,-1.179487179,-67
31/01/2025 16:06:16.879,41,-0.3177966102,-0.2151898734,-1.183760684,-68
