FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,28/01/2025 10:27:06.053
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431697296
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
28/01/2025 10:27:06.053,0,-0.1313559322,-0.06329113924,-1.072649573,-71
28/01/2025 10:27:06.153,1,-0.3305084746,-0.2278481013,-1.170940171,-75
28/01/2025 10:27:06.253,2,-0.3177966102,-0.223628692,-1.162393162,-73
28/01/2025 10:27:06.353,3,-0.3305084746,-0.2109704641,-1.179487179,-71
28/01/2025 10:27:06.453,4,-0.3262711864,-0.2194092827,-1.166666667,-69
28/01/2025 10:27:06.553,5,-0.3177966102,-0.223628692,-1.166666667,-67
28/01/2025 10:27:06.653,6,-0.3305084746,-0.2151898734,-1.166666667,-67
28/01/2025 10:27:06.752,7,-0.3305084746,-0.2194092827,-1.175213675,-69
28/01/2025 10:27:06.853,8,-0.313559322,-0.2151898734,-1.179487179,-67
28/01/2025 10:27:06.953,9,-0.3347457627,-0.223628692,-1.166666667,-67
28/01/2025 10:27:07.053,10,-0.3262711864,-0.2067510549,-1.166666667,-67
28/01/2025 10:27:07.153,11,-0.3347457627,-0.2151898734,-1.166666667,-67
28/01/2025 10:27:07.253,12,-0.3220338983,-0.223628692,-1.153846154,-67
28/01/2025 10:27:07.353,13,-0.313559322,-0.2109704641,-1.175213675,-67
28/01/2025 10:27:07.452,14,-0.313559322,-0.2151898734,-1.162393162,-67
28/01/2025 10:27:07.553,15,-0.3389830508,-0.2109704641,-1.175213675,-67
28/01/2025 10:27:07.653,16,-0.3305084746,-0.2194092827,-1.162393162,-66
28/01/2025 10:27:07.753,17,-0.3220338983,-0.2194092827,-1.170940171,-67
28/01/2025 10:27:07.853,18,-0.3220338983,-0.2194092827,-1.179487179,-66
28/01/2025 10:27:07.952,19,-0.3262711864,-0.2278481013,-1.179487179,-65
28/01/2025 10:27:08.053,20,-0.3177966102,-0.2194092827,-1.170940171,-67
28/01/2025 10:27:08.153,21,-0.3305084746,-0.2151898734,-1.175213675,-67
28/01/2025 10:27:08.253,22,-0.3305084746,-0.2194092827,-1.170940171,-69
28/01/2025 10:27:08.352,23,-0.3305084746,-0.2151898734,-1.162393162,-69
28/01/2025 10:27:08.453,24,-0.3305084746,-0.2109704641,-1.166666667,-70
28/01/2025 10:27:08.553,25,-0.3177966102,-0.2151898734,-1.170940171,-70
28/01/2025 10:27:08.653,26,-0.3177966102,-0.2067510549,-1.170940171,-71
28/01/2025 10:27:08.753,27,-0.3177966102,-0.2109704641,-1.166666667,-71
28/01/2025 10:27:08.852,28,-0.313559322,-0.2278481013,-1.170940171,-69
28/01/2025 10:27:08.953,29,-0.3262711864,-0.2151898734,-1.170940171,-69
28/01/2025 10:27:09.053,30,-0.3347457627,-0.2194092827,-1.179487179,-70
28/01/2025 10:27:09.153,31,-0.3093220339,-0.223628692,-1.175213675,-68
28/01/2025 10:27:09.253,32,-0.313559322,-0.2067510549,-1.153846154,-67
28/01/2025 10:27:09.352,33,-0.3177966102,-0.2151898734,-1.179487179,-67
28/01/2025 10:27:09.453,34,-0.3262711864,-0.2109704641,-1.175213675,-67
28/01/2025 10:27:09.653,36,-0.343220339,-0.2151898734,-1.170940171,-67
28/01/2025 10:27:09.753,37,-0.3305084746,-0.2151898734,-1.170940171,-67
28/01/2025 10:27:09.852,38,-0.3093220339,-0.2151898734,-1.166666667,-67
28/01/2025 10:27:09.953,39,-0.3347457627,-0.2151898734,-1.153846154,-67
28/01/2025 10:27:10.152,41,-0.3347457627,-0.2151898734,-1.166666667,-67
28/01/2025 10:27:10.253,42,-0.3262711864,-0.2151898734,-1.166666667,-67
28/01/2025 10:27:10.353,43,-0.313559322,-0.2194092827,-1.14957265,-67
28/01/2025 10:27:10.453,44,-0.3389830508,-0.2151898734,-1.153846154,-67
28/01/2025 10:27:10.553,45,-0.3262711864,-0.2194092827,-1.179487179,-69
28/01/2025 10:27:10.652,46,-0.3093220339,-0.2109704641,-1.179487179,-69
28/01/2025 10:27:10.753,47,-0.313559322,-0.2151898734,-1.179487179,-69
28/01/2025 10:27:10.853,48,-0.3305084746,-0.2151898734,-1.158119658,-69
28/01/2025 10:27:10.953,49,-0.3262711864,-0.2151898734,-1.170940171,-67
